sub_question_id,primary_question_id,question,sub_question,vec_score,filter_pred
2154,435,请问我逾期几天了呀？,期满日当天扣费失败，有宽限期吗？还是失效了保单,0.6783,True
315669,581,我家孩子出生黄疸住院了,孩子出生后十天因黄疸住院,0.9278,True
442928,174,我买中老年癌症保。交三个月我要显保只返给我130.6只是个月的,我是今天扣款的 请问能返给我多少,0.7509,True
356076,579,做十天理疗就痊愈了，大夫说没事了，不用复查，以后再也没疼过也没在检查过,医生诊断说定期保持复查即可，没有什么大的问题,0.8789,True
453052,200,那我之前买了一个保险,我之前买过一份保险,0.8685,False
19344,55,我没这样选,我买错了,0.5884,False
54894,195,昨天因为操作失误，没看清楚内容就投了一份保险,我刚才误操作买了一个保险,0.816,False
357223,579,出院到现在有半年了也没疼过,已经好了一年了，没一点事了,0.8425,True
436578,459,必须要核保才能下单吗,先支付，再核保，是吗,0.77,True
111050,119,我只要回两个月保钱为什么退款还留一部呢？,我退保了，别人一个月才50多元钱，我的254,0.7329,True
325965,625,我刚才评定了,刚刚我投保了,0.7136,False
326893,625,说的可以我就买了,行了  我就投保了,0.8218,False
453052,200,但是我之前买的那个,我之前买过一份保险,0.6739,False
56465,911,长期重疾,小儿长期重疾,0.8547,False
216312,805,我有的是农村社保卡可以吗？,农村的医保卡可以吗,0.8737,True
126108,95,切换产品,续保可以更换产品吗？,0.6733,False
154200,1744,我孩子就黄疸住了个院,婴儿因黄疸住过院算吗？,0.8285,True
326873,625,现在都好好的,目前很好,0.8559,False
379120,624,应该没啥问题吧,其它没有问题,0.6559,False
326750,625,那我问问那个重疾得吧明天,好的  我去买个重疾,0.7068,False
86660,436,我选择分期,我可以分期付款吗？,0.7561,False
306779,867,那你这里提交可以吗？,在线投保就可以吗？,0.7146,True
189328,329,那些不会的,里面都不清楚的,0.6636,False
41366,623,我怎么点不进去？,怎么点不进买微医保页面？,0.8232,False
307173,867,我现在想投保，怎么买进去,我现在购买怎么进入,0.8826,True
252648,548,如果以前是我父母帮我买的保险，那明年开始我自己买有影响吗,我为家人投保，第二年起续保，被保人可以自己续保，或他人为被保人续保吗？,0.8015,True
20511,67,已撤单啥意思,那撤单是什么意思呢,0.6981,False
402147,195,现在可以先不交吗？,可以不保了吗？,0.7859,True
402147,195,这个月可以先不交吗？,可以不保了吗？,0.7753,True
326596,625,就是我买了这个保险,买了这个保,0.8266,False
254443,297,那么我说一个例子比如说做一个腺样体手术花费13000左右有医保，微保能给报多少,我举个例，我心脏塔桥手术，一共用了15万，能报销好多呢？,0.8933,True
248895,133,我现在已经超出一万了个人支付,比方说我通过公费医疗已经报掉了一万了。怎么证明自己已经花了一万。,0.679,True
401334,195,为什么我交了那么多啊？然后去退没半分钱呢？,怎么退的保费这么少啊,0.7446,True
276932,1787,交一年多零元什么意思？,你交一元钱是什么意思,0.7163,True
2488,2488,xvteukmnxdxdgbv86589...%%MTg5Mjk3NjY3ODY=&&许锦成七,9201_证件类型代码不允许为空。 批单审核时提示这个错误，批单申请号,0.5811,False
439409,423,哦，哪有没有长期有效的呢，就想是社保哪样买多少年，过后就不用买了的啊,有没有像保险公司那样买满多少年保多少年那种？,0.8673,True
456087,344,哦，哪要是买到不能够干活了的时候，还需要买嘛,如果，不做染色工了，可以买这个保险吗,0.6575,True
467629,142,现在交费越来越高了，怕到时候不能报销，前期得过病的，再生病能报销吗？,我现在血压正常，买了就担心以后遇到赔付，你们查以前的数据有过高血压测量记录就不赔,0.8325,True
401925,195,注销投保,我想取消投保,0.7748,False
381491,749,你好我不需要投保,我不买微保,0.7666,False
441712,906,现在在医院住着院的能报销吗,现在如果在住院能保吗,0.8709,False
397370,185,王丽芹 %%MTUwNDAyMTk1OTAyMjIwMDJ4&&,"周立颖0
投保人王震21028119840817881x13664239959",0.7213,False
441712,906,现在在医院住着院的能报销吗,现在如果在住院能保吗,0.8709,False
341990,384,在医院缴费的时候可以直接用微医保支付吗,在医院付费时可以直接进行理赔？,0.8325,True
357510,579,脑充血一下就来了,不是 就是有点头晕,0.6099,False
337429,909,我老丈人是患的脑充血 自己都不知道 一下就突发了,打牌打着突然痛 送医院 才知道是胰腺炎,0.7592,True
441285,906,我的意思就是现在买了这个保险 能报销吗现在还在医院呢,我想问一下我家人现在住院了，现在参保可以报销么,0.8471,True
229292,275,买完了给钱吗,买结束后有钱退不,0.7120000000000001,True
248962,1016,600万医保、,600万那个医疗险,0.8382,False
442357,13,20000是什么钱啊?,20%是什么？,0.6472,True
111022,119,为啥是一百九十三元呢,为什么我的六百多  不是两百多吗,0.7814,False
381681,996,不是说了免费的吗,不是说可以免费洁牙吗,0.7365,True
1323451687765331970,1323451658007285761,现在为啥每月193元呢,怎么之前每个月是38，现在成了41,0.7933,True
453768,59,不知道找谁要,保单我找谁要,0.711,False
249097,849,我刚扣了270元，怎么又说我欠费,我已经停交了，为什么又扣我的款,0.769,True
445711,288,你好，这是？？,你好，你们这是？,0.8018,False
19193,921,【元保】朱刘伟，您家人有一份保障尚未领取！防止大病或意外，让家庭陷入经济困难，戳 https://ybbxkj.com/E4U8g 领取保障吧，限时2小时！~ 回T退订,今年42，明天的事都说不准，想为家人减点负吧，选哪个好,0.6496,True
282393,572,投宝成功后，钱会打到我卡里，还是？？？,对了，这个赔付是打到医院？还是投保人卡上？,0.8152,True
122512,404,我还有29天到期了可以在最后三天提醒吗,但是微医保，投保日剩余最后一天了,0.7845,True
271635,846,我的微保钱不对呀？,我买保险怎么零钱支付不了,0.6055,False
31435,622,在什么里？,微医保在哪里呀？,0.6928,False
110650,282,买了农村医保和这个微保！只能二选一报销吗,有交医保的如果再交微保是不是也只能报一边？,0.8491,True
390032,336,我看您看了两三万块钱可以保险吗？,假如我买您这个保险。生病以后，花了一万左右，这个有报销吗？,0.7239,True
349770,579,这都八天了,都做了六七年了,0.6104,False
126622,657,我买的水滴保但是我不知道我在哪里管住,我投了轻松e保怎么变成轻松筹，也不见凭证,0.8451,True
455969,285,如果我买1元微保的话，可不可以在佛山市高明区用的吗,我买的保险你看看是否在福州地区可以用,0.8178,True
325504,443,怎么联系,怎么连系呢,0.9361,False
402923,251,没这回事，原始件拿出来，骗钱,不希望我的资料，因为这次交流，被泰康人寿拿去。影像我的生活。,0.5996,False
320204,754,你不是说我同意了吗，文件拿出来对质,你们公司我知道，买卖做的大，合作的公司有实力吗,0.7022,True
102493,186,你叫他们找我,让你们人给打个电话。,0.6967,False
214520,441,叫你们负责人找人协商,找个你们泰康的人联系我,0.7124,False
449974,461,钱为什么还没退过来,为什么还没有退款给我,0.9315,True
171073,501,与付款方式没关系是吧 就是保一年的,没有交费期限制吧？交一年保一年吗？,0.7771,True
410844,655,免赔保险规定有哪些,免责条款有哪些规定,0.7609,True
444128,288,我这都保的啥呀，扣87元,我每月交31都保什么,0.7290000000000001,True
402207,195,我在17年4月买手机时，不知道在什么情况下办理了该业务，现在我须要立即停止该业务,我乱点就买了国民e保，可以退保吗？现在不知道是怎么回事，今天自动扣费才知道,0.6629,True
238330,466,后续不是14元吗，怎么是28元，还有这 个有什么凭证正，我怎么信任你呢,没有收据，没有详细的纸质东西，怎么能确保是否可靠,0.7855,True
20975593,20975351,你好，不是免费自行车投保吗,老师你好，是卖车险客户直接投保驾乘保，还是怎么赠送呢？,0.7718,True
489560,4003487,免费骑自行车,可以骑共享单车去买菜吗,0.7178,True
83770,330,我现在有，病痛了，，，，，我现在有病痛了，我现在有病痛，我现在有病痛，我现在有病痛我'，，，，，，我现在右0纸,又或者说，有尿毒症。尿毒症，可能是前几年就患了病。但是才刚刚检查出来。,0.6484,True
229094,275,有病痛了,假如生病了,0.6658,False
436226,388,那你看看我买的这个险种有哪些情形下可以用,哦哦，那你们这个保险什么情况下能报险,0.8599,True
266955,855,买了这么久都不知道这个险种的用途,因为没有买过 想问问保险的好处,0.7361,True
469818,59,为什么没有保单发到客人手上,请问为何没有你们的保单书呢？,0.862,True
469818,59,为什么没有保单发到客人手上,请问为何没有你们的保单书呢？,0.862,True
402195,195,我已申请过不续保了，下月不要续费,我的保险下个月不买了，帮我取消。,0.8119,True
355062,579,你好买过保险但己是重疾能不能买,问下已得过重大疾病并已恢复的，是否能在这里投保,0.8633,True
401680,195,全部注消？你治我滚了,还关注毛线，我要求直接退回,0.6401,False
20976931,20975293,对，就这个,这是第一个的啊,0.6392,False
20975102,20975351,我自行车开不了，说要免费投保,不是买了交强险就有驾乘保送吗？,0.7444,True
375310,55,我就填了，后来怎么是商保了,是的，本来是给我老公买的，写成我自己了,0.6442,True
412829,728,在你们这里投保，在我们景县医院可以用嘛,你们这个微医保，广州的大医院都能报吗,0.8814,True
268317,100,不在续保,我不想续保了,0.794,False
708,708,我已经参保了，家人怎么才可以使用医保,我买了，家里孩子能用吗？,0.7082,True
126156,719,你们到微信扣钱是为法,你们是不是强制性扣费的,0.767,False
384504,3170,我参加医保我家人可以报销吗,我帮我老婆买的，她可以用吗？,0.7081,True
406969,438,我前几天看了340 元，可以报吗,假如现在住院花了9000有报销吗？,0.7316,True
390833,336,我参加医保，我儿住院，可以报销吗,我这个上了保险后，看病能报销么,0.7187,True
287331,1734,为什么我投保没有送腾讯会员？,为何我的没有赠送体检卷,0.8453,True
139663,381,那6000,连那一万也报销,0.5957,False
102470,186,可以叫客户人员连系我吗,可以叫个业务员跟我联系一下吗,0.9173,True
245896,719,为什么不经我的同意,怎么没有经过我同意就扣款啦,0.7808,False
253784,297,那就说住院赔10O\\%,就是报销60%咯,0.7763,True
326087,625,微保买过了啊,保险我投过了,0.8467,False
174181,780,和广告宣传不符！,你们价格这么低不符合市场规律,0.6244,False
419975,46,广告宣传14元/月（2-12月）,保费是多少一个月，那里写着4块,0.7563,True
